chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
55,complete,44000,44800,800,w01_primitive_rows/c00055.csv.gz,chunk_manifests/w01_primitive_rows/c00055.json,2126953,0b1fbdab19a285dadb0341696464b5d8c8d74ada7824eb2afe9508daf359dd4d,87.87439322471619
56,complete,44800,45600,800,w01_primitive_rows/c00056.csv.gz,chunk_manifests/w01_primitive_rows/c00056.json,2001613,f73c6d4a5645f950add8d6d102f3e121e16f0e0607924717e934638b712575bb,90.18162560462952
57,complete,45600,46400,800,w01_primitive_rows/c00057.csv.gz,chunk_manifests/w01_primitive_rows/c00057.json,2133029,577b75012b6357e83b4eb31150f8d6140433ff03c87a01f828695de8bd37fe25,94.45519042015076
58,complete,46400,47200,800,w01_primitive_rows/c00058.csv.gz,chunk_manifests/w01_primitive_rows/c00058.json,2101709,3d30c2ddeac5fd72051a438e68a97bda95b557296aae4e9ae66f21798b158466,94.68632435798645
59,complete,47200,48000,800,w01_primitive_rows/c00059.csv.gz,chunk_manifests/w01_primitive_rows/c00059.json,2042536,4df6e9a5640994b8e0c17df1749de55b5fcbc6bececadcd27d0a7a8c698dbede,101.83335447311401
60,complete,48000,48800,800,w01_primitive_rows/c00060.csv.gz,chunk_manifests/w01_primitive_rows/c00060.json,2118546,1e4b51838eeb5cf5785875d11d91613c1414f4b89b4c022fa07a0cfded0f1467,102.5302243232727
61,complete,48800,49600,800,w01_primitive_rows/c00061.csv.gz,chunk_manifests/w01_primitive_rows/c00061.json,2029176,e9b830153539e5ecb96373dd3e7df78123a05e67c23945419ff7de1a0db952a5,105.8974997997284
62,complete,49600,50400,800,w01_primitive_rows/c00062.csv.gz,chunk_manifests/w01_primitive_rows/c00062.json,2098259,0d0ba2454c77c965fc4e99f5868ad800a93a19cbc4caf0b90046dcb3ae1b8911,105.9894859790802
63,complete,50400,51200,800,w01_primitive_rows/c00063.csv.gz,chunk_manifests/w01_primitive_rows/c00063.json,2134052,79ced35e2e8e129caece39198c8a0beb6c93bd4f7954b268d0cb260d38017ac3,110.00332379341125
64,complete,51200,52000,800,w01_primitive_rows/c00064.csv.gz,chunk_manifests/w01_primitive_rows/c00064.json,1972001,1173598202c9a5ae67c0cc220beb2ba4758ecebda04288d02bfcfde1ee660956,77.65695571899414
65,complete,52000,52800,800,w01_primitive_rows/c00065.csv.gz,chunk_manifests/w01_primitive_rows/c00065.json,2089078,f55c8e23e89ed4fc8fe09ef139aad0a7c1102c1941605293a9d3efcca9be9a91,78.64122819900513
66,complete,52800,53600,800,w01_primitive_rows/c00066.csv.gz,chunk_manifests/w01_primitive_rows/c00066.json,2015109,efdfe59c9a4ca579bac36b256d828b408d682ae2d5d53ac732e4d649a4ff7ed8,82.20382857322693
67,complete,53600,54400,800,w01_primitive_rows/c00067.csv.gz,chunk_manifests/w01_primitive_rows/c00067.json,2086600,a2d66fec57fb3e1c5cad8c170bda5fe355e96a16efb779869188be2bd2b26056,86.20209765434265
68,complete,54400,55200,800,w01_primitive_rows/c00068.csv.gz,chunk_manifests/w01_primitive_rows/c00068.json,2121766,b8f7fa95f5b1adbe575cf559a717000a6d601848fc0380c0e8e2ab1858347662,87.21556282043457
69,complete,55200,56000,800,w01_primitive_rows/c00069.csv.gz,chunk_manifests/w01_primitive_rows/c00069.json,2011342,379cd6a4e30b1a50cd315595f64e90fbd790a386d2602c6705eade01d8aecb80,93.11351037025452
70,complete,56000,56800,800,w01_primitive_rows/c00070.csv.gz,chunk_manifests/w01_primitive_rows/c00070.json,2113054,f8f56213df220b862a807b6d1244715046afa6804bded190e3f7f963efbcd03d,92.72818851470947
71,complete,56800,57600,800,w01_primitive_rows/c00071.csv.gz,chunk_manifests/w01_primitive_rows/c00071.json,2070685,68b1b3df549675cfbd1ff90be2d9de4e7874095e6c7a6fa6998a8f5a6adb2d6f,96.62912821769714
72,complete,57600,58400,800,w01_primitive_rows/c00072.csv.gz,chunk_manifests/w01_primitive_rows/c00072.json,2061705,a99fa913b59e2d27935c45f6df272e994b6f1c09937afac045c142a39912962b,98.72747325897217
73,complete,58400,59200,800,w01_primitive_rows/c00073.csv.gz,chunk_manifests/w01_primitive_rows/c00073.json,2134033,18ee00c5dde69eae62cc3dbee3a0d168aa86111ed55b2fac2c47749050ffcc7a,101.12024116516113
74,complete,59200,60000,800,w01_primitive_rows/c00074.csv.gz,chunk_manifests/w01_primitive_rows/c00074.json,2007518,1743490a4e40b1318b5b29c5153db66afb45d369355eae92ceccff2c27e31806,105.67380571365356
