primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_59e7d8972aac,energy_retaining_bank,dry_air,20,9,9,0,0,0.4461077531976828,-0.0032893418084276177,0.0
primvar_energy_retaining_bank_transition_object_59e7d8972aac,energy_retaining_bank,w3_randomised_four,100,23,23,0,0,0.4460836851182398,0.01252448991511135,0.0796
primvar_energy_retaining_bank_transition_object_59e7d8972aac,energy_retaining_bank,w3_randomised_single,40,15,15,0,0,0.4460945708642104,0.0013861179860301547,0.0455
primvar_energy_retaining_bank_transition_object_59f915f98b46,energy_retaining_bank,dry_air,60,54,54,11,0,-0.0721680682200602,-0.025167832452082112,0.0
primvar_energy_retaining_bank_transition_object_59f915f98b46,energy_retaining_bank,w3_randomised_four,300,241,241,55,0,-0.0723237690395013,-0.013362195482589725,0.0458
primvar_energy_retaining_bank_transition_object_59f915f98b46,energy_retaining_bank,w3_randomised_single,120,94,94,22,0,-0.0720221903391502,-0.017388691569852597,0.023333333333333334
primvar_energy_retaining_bank_transition_object_5ec03387b24f,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01716306582865931,0.0
primvar_energy_retaining_bank_transition_object_5ec03387b24f,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.013946051699754039,0.0094
primvar_energy_retaining_bank_transition_object_5ec03387b24f,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01702947838981102,0.0
primvar_energy_retaining_bank_transition_object_5f6eb7c8e8d3,energy_retaining_bank,dry_air,20,20,20,0,0,0.2006906861931146,-0.023387236848500893,0.0
primvar_energy_retaining_bank_transition_object_5f6eb7c8e8d3,energy_retaining_bank,w3_randomised_four,100,76,76,0,0,0.2001854125707183,0.0017709051006259717,0.07640000000000001
primvar_energy_retaining_bank_transition_object_5f6eb7c8e8d3,energy_retaining_bank,w3_randomised_single,40,25,25,0,0,0.2003649787583281,-0.0032812779187904803,0.0645
